order_id,date,day,time,customer_gender,party_size,total_bill,tip
1001,2024-01-01,Monday,Lunch,Male,2,32.50,4.20
1002,2024-01-02,Tuesday,Dinner,Female,4,58.80,9.10
1003,2024-01-03,Wednesday,Lunch,Male,1,18.40,2.50
1004,2024-01-04,Thursday,Dinner,Female,3,45.60,7.30
1005,2024-01-05,Friday,Dinner,Male,5,78.90,14.20
1006,2024-01-06,Saturday,Dinner,Female,6,92.40,16.80
1007,2024-01-07,Sunday,Lunch,Male,2,35.10,5.00
1008,2024-01-08,Monday,Lunch,Female,3,41.70,6.40
1009,2024-01-09,Tuesday,Dinner,Male,4,63.20,10.50
1010,2024-01-10,Wednesday,Lunch,Female,2,29.80,4.10
1011,2024-01-11,Thursday,Dinner,Male,3,49.90,8.00
1012,2024-01-12,Friday,Dinner,Female,5,81.30,15.60
1013,2024-01-13,Saturday,Dinner,Male,6,96.50,18.20
1014,2024-01-14,Sunday,Lunch,Female,2,33.60,5.10
1015,2024-01-15,Monday,Lunch,Male,1,16.90,2.30
1016,2024-01-16,Tuesday,Dinner,Female,4,60.40,9.90
1017,2024-01-17,Wednesday,Lunch,Male,2,31.20,4.60
1018,2024-01-18,Thursday,Dinner,Female,3,47.80,7.90
1019,2024-01-19,Friday,Dinner,Male,5,84.10,15.00
1020,2024-01-20,Saturday,Dinner,Female,6,98.70,19.30
1021,2024-01-21,Sunday,Lunch,Male,3,44.30,6.80
1022,2024-01-22,Monday,Lunch,Female,2,30.90,4.00
1023,2024-01-23,Tuesday,Dinner,Male,4,66.80,11.20
1024,2024-01-24,Wednesday,Lunch,Female,1,17.50,2.60
1025,2024-01-25,Thursday,Dinner,Male,3,52.10,8.40
1026,2024-01-26,Friday,Dinner,Female,5,86.40,16.10
1027,2024-01-27,Saturday,Dinner,Male,6,101.90,20.00
1028,2024-01-28,Sunday,Lunch,Female,2,34.80,5.20
1029,2024-01-29,Monday,Lunch,Male,1,15.80,2.10
1030,2024-01-30,Tuesday,Dinner,Female,4,62.70,10.00
1031,2024-01-31,Wednesday,Lunch,Male,2,33.40,4.90
1032,2024-02-01,Thursday,Dinner,Female,3,48.60,7.70
1033,2024-02-02,Friday,Dinner,Male,5,88.30,16.90
1034,2024-02-03,Saturday,Dinner,Female,6,104.50,21.10
1035,2024-02-04,Sunday,Lunch,Male,3,46.20,7.10
1036,2024-02-05,Monday,Lunch,Female,2,28.70,3.90
1037,2024-02-06,Tuesday,Dinner,Male,4,68.40,11.60
1038,2024-02-07,Wednesday,Lunch,Female,1,18.20,2.70
1039,2024-02-08,Thursday,Dinner,Male,3,50.90,8.10
1040,2024-02-09,Friday,Dinner,Female,5,90.80,17.40
1050,2024-02-10,Saturday,Dinner,Male,6,107.60,22.30
